id,created_at,text
1196791181163847682,2019-11-19 14:03:47,b'NASDAQ UP 27% THIS YEAR ALONE!'
1196658170984357888,2019-11-19 05:15:15,"b'Nancy Pelosi just stated that \xe2\x80\x9cit is dangerous to let the voters decide Trump\xe2\x80\x99s fate.\xe2\x80\x9d @FoxNews  In other words, sh\xe2\x80\xa6 https://t.co/VCbR81xgCh'"
1196634663743361025,2019-11-19 03:41:50,b'The Do Nothing Democrats have disgraced our great Country! https://t.co/lcSs55Wo18'
1196633453716033536,2019-11-19 03:37:02,"b'RT @Jim_Jordan: In the 55 days that aid to Ukraine was delayed, President Zelensky had 5 calls and meetings with high-ranking American offi\xe2\x80\xa6'"
1196632917516193792,2019-11-19 03:34:54,"b""RT @MarkMeadows: So much of the Democrats' impeachment effort has revolved around unelected bureaucrats airing their policy grievances with\xe2\x80\xa6"""
1196632739266596865,2019-11-19 03:34:12,"b'At my meeting with Jay Powell this morning, I protested fact that our Fed Rate is set too high relative to the inte\xe2\x80\xa6 https://t.co/Rot4eN2onP'"
1196577458583195651,2019-11-18 23:54:32,b'Mark Levin speaking one week after I took office. This was always a planned COUP and the Radical Left Democrats wil\xe2\x80\xa6 https://t.co/LYcERRm8yS'
1196540711086243841,2019-11-18 21:28:30,b'GREAT NEWS! #MAGA #KAG https://t.co/GXDE2IlGGu'
1196532586853650434,2019-11-18 20:56:13,b'THANK YOU! #MAGA #KAG https://t.co/igO1r1cTHS'
1196514729767899137,2019-11-18 19:45:16,b'https://t.co/BKo27n6tmz'
1196459630060359686,2019-11-18 16:06:19,b'\xe2\x80\x9cCongressman Van Drew (D-NJ) SLAMS Democrats for \xe2\x80\x98fracturing the Nation\xe2\x80\x99 with Impeachment probe. \xe2\x80\x98We already know h\xe2\x80\xa6 https://t.co/O8HA366ITq'
1196458467982270464,2019-11-18 16:01:42,b'Just finished a very good &amp; cordial meeting at the White House with Jay Powell of the Federal Reserve. Everything w\xe2\x80\xa6 https://t.co/tHedonx5Lt'
